"jmdict_seq","kanji","kana","waller_definition","origin","original"
1565440,"嗚呼","ああ","Ah!, Oh!, Alas!","waller",
1400800,"相","あい","together, mutually, fellow","waller",
1401310,"相変わらず","あいかわらず","as ever, as usual, the same","waller",
1575660,"愛想","あいそ","civility, courtesy, compliments, sociability, graces","waller",
1401100,"相対","あいたい","confrontation, facing, between ourselves, no third party, tete-a-tete","waller",
1215660,"間柄","あいだがら","relation(ship)","waller",
1575670,"愛憎","あいぞう","likes and dislikes","waller",
1284670,"合間","あいま","interval","waller",
1212850,"敢えて","あえて","dare (to do), challenge (to do)","waller",
1238780,"仰ぐ","あおぐ","to look up (to), to respect, to depend on, to ask for, to seek, to revere, to drink, to take","waller",
1277420,"垢","あか","dirt, filth","waller",
1149680,"亜科","あか","suborder, subfamily","waller",
1582390,"銅","あかがね","copper","waller",
1351580,"証","あかし","proof, evidence","waller",
1383440,"赤字","あかじ","deficit, go in the red","waller",
1532220,"明かす","あかす","to pass, spend, to reveal, to divulge","waller",
1383260,"赤ちゃん","あかちゃん","baby, infant","waller",
1000225,"明白","あからさま","obvious, overt, plainly, frankly","waller",
1383280,"赤らむ","あからむ","to become red, to redden, to blush","waller",
1532350,"明るい","あかるい","bright, cheerful","waller",
1352190,"上がり","あがり","1. slope, advance income, crop yield, ascent, rise, advance, death, spinning, completion, stop, finish, after","waller",
1352290,"上がる","あがる","to enter, to go up, to rise, to climb up, to advance, to appreciate, to be promoted, to improve, to call on,","waller",
1580270,"商人","あきうど","trader, shopkeeper, merchant","waller",
1676080,"空間","あきま","vacancy, room for rent or lease","waller",
1436720,"諦め","あきらめ","resignation, acceptance, consolation","waller",
1515580,"呆れる","あきれる","to be amazed, to be shocked","waller",
1151230,"悪","あく","evil, wickedness","waller",
1201960,"灰汁","あく","puckery juice","waller",
1000260,"悪どい","あくどい","1. gaudy, showy, excessive, 2. vicious","waller",
1575770,"悪日","あくび","unlucky day","waller",
1532250,"明くる","あくる","next, following","waller",
1453800,"憧れ","あこがれ","yearning, longing, aspiration","waller",
1207560,"顎","あご","chin","waller",
1524290,"麻","あさ","flax, linen, hemp","waller",
1584640,"明後日","あさって","day after tomorrow","waller",
1428410,"朝寝坊","あさねぼう","oversleeping, late riser","waller",
1390810,"浅ましい","あさましい","wretched, miserable, shameful, mean, despicable, abject","waller",
1315120,"字","あざ","section of village","waller",
1225420,"欺く","あざむく","to deceive","waller",
1392500,"鮮やか","あざやか","vivid, clear, brilliant","waller",
1565610,"あざ笑う","あざわらう","to sneer at, to ridicule","waller",
1527000,"味わい","あじわい","flavour, meaning, significance","waller",
1447430,"東","あずま","east, Eastern Japan","waller",
1350780,"焦る","あせる","to be in a hurry, to be impatient","waller",
1000320,"彼処","あそこ","1. (uk) there, over there, that place, 2. (X) (col) genitals","waller",
1581630,"値","あたい","value, price, cost, worth, merit","waller",
1609040,"値する","あたいする","to be worth, to deserve, to merit","waller",
1311125,"私","あたし","I (fem)","waller",
1448780,"当たり","あたり","hit, success, reaching the mark, per ..., vicinity, neighborhood","waller",
1448800,"当たり前","あたりまえ","usual, common, ordinary, natural, reasonable, obvious","waller",
1581400,"他人","あだびと","another person, unrelated person, outsider, stranger","waller",
1612620,"彼方此方","あちこち","here and there","waller",
1483185,"彼方","あちら","1. there, yonder, that","waller",
1612620,"彼方此方","あちらこちら","here and there","waller",
1151470,"悪化","あっか","deterioration, growing worse, aggravation, degeneration, corruption","waller",
1515600,"呆気ない","あっけない","not enough, too quick (short long etc.)","waller",
2862924,"悪口","あっこう","abuse, insult, slander, evil speaking","waller",
1000360,,"あっさり","easily, readily, quickly","waller",
1153310,"圧迫","あっぱく","pressure, coercion, oppression","waller",
1153430,"扱い","あつかい","treatment, service","waller",
1333550,"集まる","あつまる","to gather, to collect, to assemble","waller",
1572680,"誂える","あつらえる","to give an order, to place an order","waller",
1153340,"圧力","あつりょく","stress, pressure","waller",
1448820,"当て","あて","object, aim, end, hopes, expectations","waller",
1448820,"宛","あて","addressed to","waller",
1448890,"当て字","あてじ","phonetic-equivalent character, substitute character","waller",
1448930,"当てはまる","あてはまる","to apply (a rule)","waller",
1586530,"当てはめる","あてはめる","to apply, to adapt","waller",
1153480,"宛てる","あてる","to address","waller",
1383690,"跡継ぎ","あとつぎ","heir, successor","waller",
1269500,"後回し","あとまわし","putting off, postponing","waller",
1223615,"貴女","あなた","you, lady","waller",
1000420,"彼の","あの","that over there","waller",
1167610,"溢れる","あふれる","to flood, to overflow, to brim over","waller",
1538630,"油絵","あぶらえ","oil painting","waller",
1568910,"炙る","あぶる","to scorch","waller",
1000470,,"あべこべ","contrary, opposite, inverse","waller",
1213440,"甘える","あまえる","to behave like a spoiled child, to fawn on","waller",
1213510,"甘口","あまくち","sweet flavour, mildness, flattery, stupidity","waller",
1171940,"雨具","あまぐ","rain gear","waller",
1438200,"天津","あまつ","heavenly, imperial","waller",
1534380,"網","あみ","net, network","waller",
1582090,"天地","あめつち","heaven and earth, the universe, nature, top and bottom, realm, sphere, world","waller",
1400010,"操る","あやつる","to manipulate, to operate, to pull strings","waller",
1000510,,"あやふや","uncertain, vague, ambiguous","waller",
1218410,"危ぶむ","あやぶむ","to fear, to have misgivings, to be doubtful, to mistrust","waller",
1196010,"過ち","あやまち","fault, error, indiscretion","waller",
1271300,"誤る","あやまる","to make a mistake","waller",
1514330,"歩み","あゆみ","walking","waller",
1514360,"歩む","あゆむ","to walk, to go on foot","waller",
1000520,,"あら","oh, ah, saw-edged perch (Niphon spinosus)","waller",
1542860,"予め","あらかじめ","beforehand, in advance, previously","waller",
1281480,"荒らす","あらす","to lay waste, to devastate, to damage, to invade, to break into","waller",
1396970,"粗筋","あらすじ","outline, summary","waller",
1400560,"争い","あらそい","dispute, strife, quarrel, dissension, conflict, rivalry, contest","waller",
1200730,"改まる","あらたまる","to be renewed","waller",
1281470,"荒っぽい","あらっぽい","rough, rude","waller",
1586780,"凡ゆる","あらゆる","all, every","waller",
1574100,"霰","あられ","kind of cookie, cartoon character","waller",
1610550,"現われ","あらわれ","embodiment, materialization","waller",
1263510,"現われる","あらわれる","to appear, to come in sight, to become visible, to come out, to embody, to materialize, to express oneself","waller",
1586820,"有難う","ありがとう","Thank you","waller",
1541060,"有様","ありさま","state, condition, circumstances, the way things are or should be, truth","waller",
1541000,"有りのまま","ありのまま","the truth, fact, as it is, frankly","waller",
1586840,"或る","ある","a certain..., some...","waller",
1586850,"或いは","あるいは","or, possibly","waller",
1612650,"彼此","あれこれ","one thing or another, this and that, this or that","waller",
1284460,"合わす","あわす","to join together, to face, to unite, to be opposite, to combine, to connect, to add up, to mix, to match, to","waller",
1284470,"合わせ","あわせ","joint together, opposite, facing","waller",
1278810,"慌ただしい","あわただしい","busy, hurried, confused, flurried","waller",
1278830,"慌てる","あわてる","to become confused (disconcerted disorganized)","waller",
1154520,"暗殺","あんさつ","assassination","waller",
1154540,"暗算","あんざん","mental arithmetic","waller",
1154550,"暗示","あんじ","hint, suggestion","waller",
1154780,"案じる","あんじる","to be anxious, to ponder","waller",
1153910,"安静","あんせい","rest","waller",
1154790,"案の定","あんのじょう","sure enough, as usual","waller",
1584930,"余り","あんまり","not very (this form only used as adverb), not much, remainder, rest, remnant, surplus, balance, excess, rema","waller",
,"依","い","depending on","waller",
2252790,"伊","い","that one, Italy","waller",
1583250,,"いいえ","no, nay, yes, well","waller",
1277440,"いい加減","いいかげん","moderate, right, random, not thorough, vague, irresponsible, halfhearted","waller",
1587030,"言い訳","いいわけ","excuse, explanation","waller",
1192030,"家出","いえで","running away from home, leaving home","waller",
1191990,"家主","いえぬし","landlord","waller",
2845606,"如何","いかが","how, in what way","waller",
1587070,"生かす","いかす","to revive, to resuscitate, to make use of","waller",
1585060,"雷","いかずち","thunder","waller",
1466970,"如何に","いかに","how?, in what way?, how much?, however, whatever","waller",
1000660,"如何にも","いかにも","indeed, really, phrase meaning agreement","waller",
1445670,"怒り","いかり","anger, hatred","waller",
2859682,"怒る","いかる","to get angry, to be angry","waller",
1585360,"歪む","いがむ","to warp, to swerve, to deflect, to be crooked, to be distorted, to be bent, to incline, to slant, to be perv","waller",
1372410,"粋","いき","chic, style, purity, essence","waller",
1160500,"域外","いきがい","outside the area","waller",
1156450,"意気込む","いきごむ","to be enthusiastic about","waller",
1251120,"経緯","いきさつ","1. details, whole story, sequence of events, particulars, how it started, how things got this way, 2. c","waller",
1578800,"行き違い","いきちがい","misunderstanding, estrangement, disagreement, crossing without meeting, going astray","waller",
1282000,"行き成り","いきなり","suddenly","waller",
1157580,"異議","いぎ","objection, dissent, protest","waller",
1587140,"軍","いくさ","war, battle, campaign, fight","waller",
1587140,"戦","いくさ","war, battle, campaign, fight","waller",
1587150,"育成","いくせい","rearing, training, nurture, cultivation, promotion","waller",
1220040,"幾多","いくた","many, numerous","waller",
1587190,"活ける","いける","to arrange (flowers)","waller",
1157640,"異見","いけん","different opinion, objection","waller",
1587200,"意向","いこう","intention, idea, inclination","waller",
1158240,"移行","いこう","switching over to","waller",
1000750,,"いざ","now, come (now), well, crucial moment","waller",
1702990,"碑","いしぶみ","stone monument bearing an inscription","waller",
1158760,"衣装","いしょう","clothing, costume, outfit, garment, dress","waller",
1156720,"意地","いじ","disposition, spirit, willpower, obstinacy, backbone, appetite","waller",
1195140,"苛める","いじめる","to tease, to torment, to persecute, to chastise","waller",
1158280,"移住","いじゅう","migration, immigration","waller",
