jmdict_seq,kana,kanji,waller_definition
1401310,あいかわらず,,"as ever,as usual,the same"
1014210,アイデア,,idea
1014210,アイディア,,idea
1567920,あいまい,曖昧,"vague,ambiguous"
1198180,あう,遭う,"to meet,to encounter (undesirable nuance)"
1609000,あおぐ,扇ぐ,"to fan,to flap"
1381760,あおじろい,青白い,"pale,pallid"
1383310,あかんぼう,,baby
1609010,あき,明き,"room,time to spare,emptiness"
1515580,あきれる,,"to be amazed,to be shocked"
1015310,アクセント,,accent
1254010,あくび,欠伸,yawn
1518320,あくまで,飽くまで,"to the end,to the last,stubbornly"
1532300,あけがた,明け方,dawn
1352320,あげる,揚げる,"to lift,to fry"
1352320,あげる,挙げる,"to raise,to fly"
1453810,あこがれる,憧れる,"to long for,to yearn after,to admire"
1581330,あしあと,足跡,footprints
1527010,あじわう,味わう,"to taste,to savor,to relish"
1544970,あずかる,預かる,"to keep in custody,to receive on deposit,to take charge of"
1586430,あたたまる,暖まる,"to warm up,to get warm"
1586440,あたためる,暖める,"to warm,to heat"
1448800,あたりまえ,,"usual,common,ordinary"
1612620,あちらこちら,,here and there
1275330,あつかましい,厚かましい,"impudent,shameless,brazen"
1153080,あっしゅく,圧縮,"compression,condensation,pressure"
1586520,あてな,宛名,"address,direction"
1448930,あてはまる,,"to be applicable,to come under (a category),to fulfill"
1586530,あてはめる,,"to apply,to adapt"
1519340,あばれる,暴れる,"to act violently,to rage,to struggle,to be riotous"
1311750,あぶら,脂,"fat,tallow,lard"
1568910,あぶる,,to scorch
1167610,あふれる,,"to flood,to overflow,to brim over"
1171970,あまど,雨戸,sliding storm door
1213470,あまやかす,甘やかす,"to pamper,to spoil"
1543910,あまる,余る,"to remain,to be left over,to be in excess,to be too many"
1586670,あみもの,編物,"knitting,web"
1511950,あむ,編む,to knit
1218360,あやうい,危うい,"dangerous,critical,grave"
1586700,あやしい,怪しい,"suspicious,dubious,doubtful"
1281450,あらい,荒い,"rough,rude,wild"
1396910,あらい,粗い,"coarse,rough"
1396970,あらすじ,,"outline,summary"
1400620,あらそう,争う,"to dispute,to argue,to be at variance,to compete"
1200740,あらためて,改めて,"another time,again,over again,anew,formally"
1200750,あらためる,改める,"to change,to alter,to reform,to revise"
1427080,あらわす,著す,"to write,to publish"
1541560,ありがたい,有難い,"grateful,thankful,welcome,appreciated,evoking gratitude"
1296400,ある,在る,"to live,to be"
1612650,あれこれ,,"one thing or another,this and that,this or that"
1278810,あわただしい,,"busy,hurried,confused,flurried"
1278830,あわてる,,to become confused
1153720,あんい,安易,easy-going
1154820,あんがい,案外,unexpectedly
1020410,アンテナ,,antenna
1264080,いいだす,言い出す,"to start talking,to speak,to tell,to propose,to suggest,to break the ice"
1264230,いいつける,言い付ける,"to tell,to tell on (someone),to order"
1156520,いぎ,意義,"meaning,significance"
1609130,いきいき,生き生き,"vividly,lively"
1282000,いきなり,,"(uk) abruptly,suddenly,all of a sudden,without warning"
1160630,いくじ,育児,"childcare,nursing,upbringing"
1220060,いくぶん,幾分,somewhat
1587180,いけばな,生け花,(1) flower arrangement
1155100,いご,以後,"after this,from now on,hereafter,thereafter"
1155110,いこう,以降,"on and after,hereafter,thereafter"
1021220,イコール,,equal
1539660,いさましい,勇ましい,"brave,valiant,gallant,courageous"
1158780,いしょくじゅう,衣食住,"necessities of life (food, clothing, etc.)"
1156740,いじわる,意地悪,"malicious,ill-tempered,unkind"
1587320,いちいち,,"one by one,separately"
1161170,いちおう,一応,"once,tentatively,in outline,for the time being"
1164690,いちだん,一段,"greater,more,further,still more"
1167270,いちりゅう,一流,"first class,top grade,foremost,top-notch"
1585390,いつ,佚,"be lost,peace,hide,mistake,beautiful,in turn"
1576050,いっさくじつ,一昨日,day before yesterday
1576060,いっさくねん,一昨年,year before last
1164040,いっせい,一斉,"simultaneous,all at once"
1164650,いったん,一旦,"once,for a moment,one morning,temporarily"
1164950,いってい,一定,"fixed,settled,definite"
2088750,いってらっしゃい,,
2149180,いってまいります,,
1188850,いつのまにか,,"before one knows,unnoticed,unawares"
1158390,いてん,移転,"moving,transfer,demise"
1160330,いど,井戸,water well
1158490,いど,緯度,latitude (nav.)
1335310,いとこ,従姉妹,cousin (female)
1156320,いばる,威張る,"to be proud,to swagger"
1609260,いやがる,嫌がる,"to hate,to dislike"
1587670,いよいよ,,"more and more,all the more,increasingly,at last,beyond doubt"
1391500,いる,煎る,"to parch,to fry"
1391500,いる,炒る,
1587840,いれもの,入れ物,"container,case,receptacle"
2856157,インキ,,ink
1023100,インタビュー,,interview
1169720,いんりょく,引力,gravity
1024950,ウーマン,,woman
1025010,ウール,,wool
1025690,ウエートレス,,waitress
1587970,うえき,植木,"garden shrubs,trees,potted plant"
1224080,うえる,飢える,to starve
1497430,うかぶ,浮ぶ,"to float,to rise to surface,to come to mind"
1497360,うかべる,浮かべる,"to float,to express,to look (sad, glad)"
1497420,うく,浮く,"to float,to become merry,to become loose"
1349440,うけたまわる,承る,"(hum) to hear,to be told,to know"
1329770,うけとり,受取,receipt
1329640,うけもつ,受け持つ,to take (be in) charge of
1475530,うすぐらい,薄暗い,"dim,gloomy"
1475500,うすめる,薄める,"to dilute,to water down"
1588140,うちあわせ,打合せ,"business meeting,previous arrangement,appointment"
1609310,うちけす,打ち消す,"to deny,to negate,to contradict"
1478010,うつ,討つ,"to attack,to avenge"
1001010,うっかり,,"carelessly,thoughtlessly,inadvertently"
1588330,うつす,映す,"to project,to reflect,to cast (shadow)"
1321820,うつる,写る,"to be photographed,to be projected"
1173710,うつる,映る,"to be reflected,to harmonize with,to come out (photo)"
1574470,うどん,,noodles (Japanese)
1541610,うむ,有無,"yes or no,existence,flag indicator (comp),presence or absence marker"
1524500,うめる,埋める,"to bury,to fill up,to fill (a seat, a vacant position)"
1250700,うやまう,敬う,"to show respect,to honour"
1550630,うらがえす,裏返す,"to turn inside out,to turn (something) over"
1550270,うらぐち,裏口,"backdoor,rear entrance"
1389430,うらなう,占う,"to forecast,to predict"
1289740,うらみ,恨み,resentment
1289780,うらむ,恨む,"to curse,to feel bitter"
1391940,うらやましい,羨ましい,"envious,enviable"
1391950,うらやむ,羨む,to envy
1588500,うりあげ,売上,"amount sold,proceeds"
1473870,うりきれ,売り切れ,sold-out
1473880,うりきれる,売り切れる,to be sold out
1588590,うれゆき,売行き,sales
1001060,うろうろ,,"loiteringly,aimless wandering"
1172710,うんが,運河,"canal,waterway"
2007420,うんと,,"a great deal,very much"
1174620,えいぶん,英文,sentence in English
1174720,えいわ,英和,English-Japanese (e.g. dictionary)
1001150,ええと,,"let me see,well,er...."
1175030,えきたい,液体,"liquid,fluid"
1028990,エチケット,,etiquette
1202290,えのぐ,絵の具,"colors,paints"
1029760,エプロン,,apron
1155780,えらい,偉い,"great,celebrated,eminent,terrible,awful,famous,remarkable,excellent"
1176320,えんかい,宴会,"party,banquet"
1176260,えんげい,園芸,"horticulture,gardening"
1176860,えんげき,演劇,play (theatrical)
1175860,えんしゅう,円周,circumference
1178260,えんそく,遠足,"trip,hike,picnic"
1176510,えんちょう,延長,"extension,elongation,prolongation,lengthening"
1177320,えんとつ,煙突,chimney
1608720,おいかける,追い掛ける,"to chase or run after someone,to run down,to pursue"
1432280,おいこす,追い越す,"to pass (e.g. car),to outdistance,to outstrip"
1033900,オイル,,"oil,engine oil,kerosene"
1179840,おうえん,応援,"aid,assistance,help,reinforcement"
1181560,おうじょ,王女,princess
1609380,おうずる,応ずる,"to answer,to respond,to meet,to satisfy,to accept"
1179930,おうせつ,応接,reception
1179980,おうたい,応対,"receiving,dealing with"
1179760,おうふく,往復,"(col) round trip,coming and going,return ticket"
1609390,おうべい,欧米,"Europe and America,the West"
1180060,おうよう,応用,"application,put to practical use"
1031610,オーケストラ,,orchestra
1412950,おおざっぱ,,"rough (not precise),broad,sketchy"
1414570,おおどおり,大通り,main street
1032180,オートメーション,,automation
1032880,オーバーコート,,
1415050,おおよそ,大凡,"about,roughly,as a rule,approximately"
1612780,おかえり,お帰り,"return,welcome"
2411600,おかけください,,
1270220,おかげさまで,,"Thanks to god,thanks to you"
1588930,おかず,,"side dish,accompaniment for rice dishes"
1472230,おがむ,拝む,"to worship,to beg,to make a supplication"
