"jmdict_seq","kanji","kana","waller_definition","origin","original"
1401310,,"あいかわらず","as ever,as usual,the same","waller",
1401310,"相変わらず","あいかわらず","as ever,as usual,the same","jmdict","あいかわらず"
1401310,"相変らず","あいかわらず","as ever,as usual,the same","jmdict","あいかわらず"
1401310,"あい変わらず","あいかわらず","as ever,as usual,the same","jmdict","あいかわらず"
1401310,"あい変らず","あいかわらず","as ever,as usual,the same","jmdict","あいかわらず"
1014210,,"アイデア","idea","waller",
1014210,,"アィディア","idea","jmdict","アイデア・アイディア"
1014210,,"アイディア","idea","waller",
1567920,"曖昧","あいまい","vague,ambiguous","waller",
1567920,"あい昧","あいまい","vague,ambiguous","jmdict","曖昧"
1198180,"遭う","あう","to meet,to encounter (undesirable nuance)","waller",
1609000,"扇ぐ","あおぐ","to fan,to flap","waller",
1609000,"煽ぐ","あおぐ","to fan,to flap","jmdict","扇ぐ"
1381760,"青白い","あおじろい","pale,pallid","waller",
1381760,"蒼白い","あおじろい","pale,pallid","jmdict","青白い"
1381760,"青じろい","あおじろい","pale,pallid","jmdict","青白い"
1383310,,"あかんぼう","baby","waller",
1609010,"明き","あき","room,time to spare,emptiness","waller",
1515580,,"あきれる","to be amazed,to be shocked","waller",
1515580,"呆れる","あきれる","to be amazed,to be shocked","jmdict","あきれる"
1515580,"惘れる","あきれる","to be amazed,to be shocked","jmdict","あきれる"
1015310,,"アクセント","accent","waller",
1254010,"欠伸","あくび","yawn","waller",
1254010,,"あくび","yawn","jmdict","欠伸"
1254010,,"けんしん","yawn","jmdict","欠伸"
1254010,"欠伸","けんしん","yawn","jmdict","あくび"
1254010,"欠","あくび","yawn","jmdict","欠伸"
1518320,"飽くまで","あくまで","to the end,to the last,stubbornly","waller",
1518320,,"あくまで","to the end,to the last,stubbornly","jmdict","飽くまで"
1518320,"飽く迄","あくまで","to the end,to the last,stubbornly","jmdict","飽くまで"
1532300,"明け方","あけがた","dawn","waller",
1532300,"明方","あけがた","dawn","jmdict","明け方"
1532300,"明けがた","あけがた","dawn","jmdict","明け方"
1352320,"揚げる","あげる","to lift,to fry","waller",
1352320,"挙げる","あげる","to raise,to fly","waller",
1453810,"憧れる","あこがれる","to long for,to yearn after,to admire","waller",
1453810,"憬れる","あこがれる","to long for,to yearn after,to admire","jmdict","憧れる"
1453810,"憧憬れる","あこがれる","to long for,to yearn after,to admire","jmdict","憧れる"
1581330,"足跡","あしあと","footprints","waller",
1581330,"足跡","そくせき","footprints","jmdict","あしあと"
1581330,"足あと","あしあと","footprints","jmdict","足跡"
1527010,"味わう","あじわう","to taste,to savor,to relish","waller",
1544970,"預かる","あずかる","to keep in custody,to receive on deposit,to take charge of","waller",
1586430,"暖まる","あたたまる","to warm up,to get warm","waller",
1586430,"温まる","あたたまる","to warm up,to get warm","jmdict","暖まる"
1586430,"温まる","あったまる","to warm up,to get warm","jmdict","暖まる"
1586430,"温まる","ぬくまる","to warm up,to get warm","jmdict","暖まる"
1586430,"暖まる","あったまる","to warm up,to get warm","jmdict","あたたまる"
1586440,"暖める","あたためる","to warm,to heat","waller",
1586440,"温める","あたためる","to warm,to heat","jmdict","暖める"
1586440,"温める","あっためる","to warm,to heat","jmdict","暖める"
1586440,"温める","ぬくめる","to warm,to heat","jmdict","暖める"
1586440,"暖める","あっためる","to warm,to heat","jmdict","あたためる"
1448800,,"あたりまえ","usual,common,ordinary","waller",
1448800,"当たり前","あたりまえ","usual,common,ordinary","jmdict","あたりまえ"
1448800,"当り前","あたりまえ","usual,common,ordinary","jmdict","あたりまえ"
1448800,"あたり前","あたりまえ","usual,common,ordinary","jmdict","あたりまえ"
1448800,"当りまえ","あたりまえ","usual,common,ordinary","jmdict","あたりまえ"
1612620,,"あちらこちら","here and there","waller",
1275330,"厚かましい","あつかましい","impudent,shameless,brazen","waller",
1153080,"圧縮","あっしゅく","compression,condensation,pressure","waller",
1153080,"あっ縮","あっしゅく","compression,condensation,pressure","jmdict","圧縮"
