jmdict_seq,kana,kanji,waller_definition
2394370,あ,,Ah
2085080,ああ,,like that
1151120,あいさつ,,to greet
1215230,あいだ,間,a space
1284430,あう,合う,to match
1383260,あかちゃん,,infant
1352290,あがる,上る,to rise
1383310,あかんぼう,赤ん坊,baby
1586270,あく,空く,"to open, to become empty"
1015220,アクセサリー,,accessory
1352320,あげる,,to give
1390800,あさい,浅い,"shallow,superficial"
1526960,あじ,味,flavour
1015840,アジア,,Asia
1584660,あす,明日,tomorrow
1542070,あそび,遊び,play
1333550,あつまる,集る,to gather
1333560,あつめる,集める,to collect something
1017330,アナウンサー,,announcer
1929050,アフリカ,,Africa
1149830,アメリカ,,America
1323010,あやまる,謝る,to apologize
1019280,アルコール,,alcohol
1019420,アルバイト,,part-time job
1153890,あんしん,安心,relief
1153930,あんぜん,安全,safety
1000590,あんな,,such
1154860,あんない,案内,to guide
1155060,いか,以下,less than
1155090,いがい,以外,with the exception of
1159810,いがく,医学,medical science
1378520,いきる,生きる,to live
1156530,いけん,意見,opinion
1382440,いし,石,stone
1195140,いじめる,,to tease
1155120,いじょう,以上,"more than,this is all"
1228650,いそぐ,急ぐ,to hurry
1421900,いたす,致す,(humble) to do
1587290,いただく,,(humble) to receive
1576250,いちど,一度,once
1164010,いっしょうけんめい,一生懸命,with utmost effort
1165670,いっぱい,一杯,full
1311450,いと,糸,thread
1155180,いない,以内,within
1442750,いなか,田舎,countryside
1222770,いのる,祈る,to pray
1000940,いらっしゃる,,"(respectful) to be,to come or to go"
1357250,うえる,植える,"to plant,to grow"
1305700,うかがう,伺う,to visit
1588060,うけつけ,受付,receipt
1329590,うける,受ける,to take a lesson or test
1451210,うごく,動く,to move
1172400,うそ,嘘,a lie
1457730,うち,内,within
1408810,うつ,打つ,to hit
1486360,うつくしい,美しい,beautiful
1588320,うつす,写す,to copy or photograph
1158210,うつる,移る,to move house or transfer
1562850,うで,腕,arm
1310460,うまい,上手い,delicious
1550190,うら,裏,reverse side
1588550,うりば,売り場,place where things are sold
1219510,うれしい,,glad
1001090,うん,,(informal) yes
1172830,うんてん,運転,to drive
1172870,うんてんしゅ,運転手,driver
1172910,うんどう,運動,to exercise
1028580,エスカレーター,,escalator
1310530,えだ,枝,"branch, twig"
1588730,えらぶ,選ぶ,to choose
1178450,えんりょ,遠慮,"to be reserved, to be restrained"
1001180,おいでになる,,(respectful) to be
1612770,おいわい,お祝い,congratulation
1032030,オートバイ,,motorcycle
1001640,おかげ,,owing to
1190860,おかしい,,strange or funny
1182620,おく,億,one hundred million
